Area in Sqrt,No.of Bhk,Location,Price
3550,4,Sector 107, 3.51 Cr
3550,4,Sector 107, 3.51 Cr
1675,3,Sector 150, 82.91 L
1615,3,Sector 150, 79.94 L
1400,3,Sector 150, 69.3 L
1549,3,Sector 150, 79 L
1262,2,Sector 150, 65 L
3027,4,Sector 150, 1.79 Cr
2697,4,Sector 150, 1.59 Cr
2062,3,Sector 150, 99 L
2330,3,Sector 150, 1.38 Cr
1404,3,Sector 150, 78.62 L
1155,2,Sector 150, 63 L
1137,2,Sector 150, 56.85 L
2075,4,Sector 143, 1.24 Cr
1465,3,Sector 143, 87.9 L
950,2,Sector 143, 57 L
2500,3,Sector 107, 2.7 Cr
2201,4,Sector 107, 3.6 Cr
2170,3,Sector 150, 1.21 Cr
3540,4,Sector 150, 2.26 Cr
3400,4,Sector 150, 1.76 Cr
1000,2,Sector 41, 30 L
800,2,Sector 73, 22 L
2190,3,Sector 150, 1.9 Cr
6000,4,Sector 94, 8.7 Cr
1550,3,Sector 78, 1.3 Cr
1690,3,Sector 77, 1.3 Cr
1500,3,Sector 75, 1.01 Cr
2200,3,other, 51 L
950,2,other, 25 L
950,2,Sector 93A, 20.45 L
550,1,Sector 93A, 14 L
2400,3,Sector 150, 1.56 Cr
1075,3,other, 34 L
1500,3,Sector 73, 34 L
550,1,Sector 73, 16.99 L
910,2,Sector 73, 25.99 L
1690,3,Sector 79, 1.32 Cr
1095,2,Sector 93A, 26.5 L
460,2,other, 12.99 L
1245,2,Sector 79, 81.75 L
2335,4,Sector 79, 1.57 Cr
1245,2,Sector 79, 81.75 L
1245,2,Sector 79, 81.75 L
2335,4,Sector 79, 1.57 Cr
2335,4,Sector 79, 1.57 Cr
1645,3,Sector 79, 1.06 Cr
1645,3,Sector 79, 1.06 Cr
2715,5,Sector 79, 1.87 Cr
2715,5,Sector 79, 1.87 Cr
1895,3,Sector 79, 1.23 Cr
1895,3,Sector 79, 1.23 Cr
1215,2,Sector 79, 81.1 L
1215,2,Sector 79, 81.1 L
1620,3,Sector 79, 1.1 Cr
1620,3,Sector 79, 1.1 Cr
1385,2,Sector 79, 93.7 L
1385,2,Sector 79, 93.7 L
1400,2,Sector 79, 91 L
1400,2,Sector 79, 91 L
2720,4,Sector 79, 1.76 Cr
2720,4,Sector 79, 1.76 Cr
1400,2,Sector 79, 91 L
1400,2,Sector 79, 91 L
2720,4,Sector 79, 1.76 Cr
2720,4,Sector 79, 1.76 Cr
1880,3,Sector 79, 1.22 Cr
1880,3,Sector 79, 1.22 Cr
1470,3,Sector 77, 85.26 L
1470,3,Sector 77, 85.26 L
2575,4,Sector 79, 1.67 Cr
2575,4,Sector 79, 1.67 Cr
1470,3,Sector 77, 85.26 L
1380,2,Sector 79, 89.7 L
1470,3,Sector 77, 85.26 L
1380,2,Sector 79, 89.7 L
1075,2,Sector 77, 62.35 L
1075,2,Sector 77, 62.35 L
1730,3,Sector 79, 1.12 Cr
1730,3,Sector 79, 1.12 Cr
990,2,Sector 77, 57.42 L
990,2,Sector 77, 57.42 L
1765,3,Sector 77, 1.02 Cr
1765,3,Sector 77, 1.02 Cr
1150,2,Sector 77, 66.7 L
1150,2,Sector 77, 66.7 L
1615,3,Sector 77, 93.67 L
1615,3,Sector 77, 93.67 L
1085,2,Sector 77, 62.93 L
1085,2,Sector 77, 62.93 L
1695,3,Sector 77, 98.31 L
1695,3,Sector 77, 98.31 L
1310,2,Sector 77, 75.98 L
1310,2,Sector 77, 75.98 L
1400,3,Sector 77, 81.2 L
1400,3,Sector 77, 81.2 L
2890,4,Sector 79, 1.87 Cr
2890,4,Sector 79, 1.87 Cr
1495,3,Sector 79, 97.17 L
1495,3,Sector 79, 97.17 L
2040,3,Sector 94, 2.75 Cr
1380,2,Sector 94, 1.86 Cr
800,1,Sector 94, 1.16 Cr
595,1,Sector 94, 86.27 L
1220,2,Sector 94, 1.64 Cr
3000,3,Sector 94, 4.95 Cr
1320,2,Sector 94, 1.78 Cr
560,1,Sector 94, 81.2 L
2105,3,Sector 94, 2.84 Cr
1607,3,Sector 150, 1.05 Cr
3260,4,Sector 150, 2.13 Cr
3131,4,Sector 43, 3.8 Cr
1340,3,Sector 143, 93 L
2563,3,Sector 43, 3.1 Cr
5643,5,Sector 150, 4.5 Cr
950,2,Sector 77, 52 L
1550,3,Sector 78, 1.3 Cr
1100,3,Sector 150, 35 L
1100,3,Sector 150, 35 L
1230,3,Sector 150, 37.5 L
2190,3,Sector 150, 1.86 Cr
2000,3,Sector 150, 1.8 Cr
1404,3,Sector 150, 1.05 Cr
849,2,Sector 150, 1.08 Cr
1903,4,Sector 150, 1.99 Cr
1303,2,Sector 150, 85.8 L
3000,4,Sector 150, 2.16 Cr
3500,4,Sector 150, 1.76 Cr
2450,3,Sector 150, 1.51 Cr
3650,4,Sector 150, 2.24 Cr
3685,4,Sector 150, 2.11 Cr
1404,3,Sector 150, 1.05 Cr
1285,3,Sector 137, 51 L
1070,2,Sector 137, 39 L
1592,3,Sector 137, 64 L
1695,3,Sector 137, 68 L
1410,3,Sector 137, 57 L
1950,3,Sector 137, 78 L
1725,3,Sector 137, 69 L
783,3,Sector 150, 1.05 Cr
783,3,Sector 150, 1.05 Cr
783,3,Sector 150, 1.05 Cr
783,3,Sector 150, 1.05 Cr
981,3,Sector 150, 1.28 Cr
981,3,Sector 150, 1.28 Cr
648,2,Sector 150, 93.16 L
648,2,Sector 150, 93.16 L
950,2,Sector 45, 28 L
4150,4,Sector 94, 6.84 Cr
1650,2,Sector 94, 2.22 Cr
3840,4,Sector 94, 5.95 Cr
1776,2,Sector 94, 2.39 Cr
1475,2,Sector 94, 1.99 Cr
3770,4,Sector 94, 5.84 Cr
10485,4,Sector 94, 31.45 Cr
645,1,Sector 94, 93.52 L
5410,3,Sector 94, 16.22 Cr
4060,3,Sector 94, 12.17 Cr
6550,4,Sector 94, 10.8 Cr
4955,4,Sector 94, 6.68 Cr
1825,2,Sector 94, 2.46 Cr
2880,3,Sector 94, 4.75 Cr
4850,3,Sector 94, 8 Cr
3900,4,Sector 94, 6.43 Cr
7520,4,Sector 94, 12.4 Cr
5400,4,Sector 94, 7.29 Cr
7490,4,Sector 94, 22.46 Cr
9950,4,Sector 94, 16.41 Cr
3120,3,Sector 94, 5.14 Cr
2380,4,Sector 77, 1.7 Cr
6000,5,other, 6.25 Cr
3500,4,Sector 137, 3.1 Cr
925,2,Sector 137, 42 L
1660,3,Sector 137, 65 L
1265,3,Sector 137, 57 L
1819,4,Sector 150, 1.93 Cr
1130,3,Sector 150, 1.06 Cr
1615,4,Sector 150, 1.66 Cr
1356,3,Sector 150, 1.49 Cr
1227,3,Sector 150, 1.14 Cr
1575,3,Sector 150, 85.91 L
1285,3,Sector 150, 70.09 L
1100,2,Sector 150, 60 L
1404,3,Sector 150, 1.09 Cr
1675,3,Sector 150, 1.2 Cr
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
1150,3,Sector 121, 29.9 L
925,2,Sector 121, 24.99 L
1200,3,Sector 121, 32 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
1150,3,Sector 121, 31.9 L
1200,3,Sector 121, 31.99 L
1150,3,Sector 121, 31.9 L
1200,3,Sector 121, 31.9 L
1150,3,Sector 121, 31.9 L
925,2,Sector 121, 24.99 L
950,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
1150,3,Sector 121, 31.9 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
1615,3,Sector 150, 1.2 Cr
1096,2,Sector 137, 67 L
1096,2,Sector 137, 67 L
3200,4,Sector 152, 2.15 Cr
2350,3,Sector 152, 1.6 Cr
1850,3,Sector 152, 1.27 Cr
1245,2,Sector 79, 81.75 L
1245,2,Sector 79, 81.75 L
1245,2,Sector 79, 81.75 L
1245,2,Sector 79, 81.75 L
2335,4,Sector 79, 1.57 Cr
2335,4,Sector 79, 1.57 Cr
1645,3,Sector 79, 1.06 Cr
1645,3,Sector 79, 1.06 Cr
1470,3,Sector 77, 85.26 L
2715,5,Sector 79, 1.87 Cr
2715,5,Sector 79, 1.87 Cr
1075,2,Sector 77, 62.35 L
1895,3,Sector 79, 1.23 Cr
1895,3,Sector 79, 1.23 Cr
1470,3,Sector 77, 85.26 L
990,2,Sector 77, 57.42 L
1215,2,Sector 79, 81.1 L
1215,2,Sector 79, 81.1 L
1765,3,Sector 77, 1.02 Cr
1470,3,Sector 77, 85.26 L
1620,3,Sector 79, 1.1 Cr
1620,3,Sector 79, 1.1 Cr
1150,2,Sector 77, 66.7 L
1075,2,Sector 77, 62.35 L
1385,2,Sector 79, 93.7 L
1385,2,Sector 79, 93.7 L
1615,3,Sector 77, 93.67 L
990,2,Sector 77, 57.42 L
1085,2,Sector 77, 62.93 L
1765,3,Sector 77, 1.02 Cr
1150,2,Sector 77, 66.7 L
1695,3,Sector 77, 98.31 L
1310,2,Sector 77, 75.98 L
1615,3,Sector 77, 93.67 L
1085,2,Sector 77, 62.93 L
1695,3,Sector 77, 98.31 L
1310,2,Sector 77, 75.98 L
1400,3,Sector 77, 81.2 L
3200,4,Sector 78, 2.56 Cr
3200,4,Sector 78, 2.56 Cr
3200,4,Sector 78, 2.56 Cr
3200,4,Sector 78, 2.56 Cr
1900,3,Sector 78, 1.06 Cr
1900,3,Sector 78, 1.06 Cr
2925,4,Sector 78, 2.34 Cr
2925,4,Sector 78, 2.34 Cr
4900,5,Sector 78, 3.92 Cr
4900,5,Sector 78, 3.92 Cr
3700,5,Sector 78, 2.96 Cr
3700,5,Sector 78, 2.96 Cr
1650,3,Sector 78, 92.4 L
1650,3,Sector 78, 92.4 L
1290,2,Sector 78, 72.24 L
1290,2,Sector 78, 72.24 L
1690,3,Sector 78, 94.64 L
1690,3,Sector 78, 94.64 L
1250,2,Sector 78, 70 L
1250,2,Sector 78, 70 L
1825,3,Sector 78, 1.02 Cr
1825,3,Sector 78, 1.02 Cr
3250,4,Sector 78, 2.6 Cr
3250,4,Sector 78, 2.6 Cr
1480,3,Sector 78, 82.88 L
1480,3,Sector 78, 82.88 L
1550,3,Sector 78, 86.8 L
1550,3,Sector 78, 86.8 L
1150,2,Sector 78, 64.4 L
1150,2,Sector 78, 64.4 L
1350,2,Sector 78, 75.6 L
1350,2,Sector 78, 75.6 L
2070,3,Sector 78, 1.15 Cr
2070,3,Sector 78, 1.15 Cr
4075,5,Sector 78, 3.26 Cr
4075,5,Sector 78, 3.26 Cr
4150,4,other, 3 Cr
4500,8,other, 3.6 Cr
2488,3,other, 35 L
3754,5,Sector 43, 4.75 Cr
4720,4,Sector 79, 3.3 Cr
3200,4,Sector 150, 1.76 Cr
2300,3,Sector 150, 1.26 Cr
1750,3,Sector 150, 96.25 L
1100,2,Sector 43, 1.25 Cr
5080,5,Sector 76, 1.73 Cr
700,2,Sector 73, 32 L
4400,4,Sector 76, 1.5 Cr
1922,3,Sector 150, 96.25 L
1050,2,Sector 45, 35 L
570,1,Sector 45, 18 L
560,1,Sector 45, 17.25 L
550,1,Sector 45, 14.9 L
550,1,Sector 45, 19 L
550,1,Sector 45, 17 L
560,1,Sector 45, 15.5 L
560,1,Sector 45, 17.75 L
550,1,Sector 45, 18 L
960,2,Sector 45, 32 L
1385,3,other, 60 L
1100,2,Sector 150, 66 L
2700,4,Sector 150, 2.14 Cr
3027,4,Sector 150, 2.39 Cr
1325,3,Sector 119, 60 L
1325,3,Sector 119, 62 L
935,2,Sector 43, 30.25 L
940,2,Sector 43, 29.9 L
570,1,Sector 45, 18 L
970,2,Sector 49, 35 L
940,2,Sector 73, 28 L
950,2,Sector 49, 35 L
990,2,Sector 43, 34.8 L
950,2,Sector 45, 30 L
950,2,Sector 45, 27.2 L
555,1,Sector 45, 15.5 L
540,1,Sector 45, 13.5 L
510,1,Sector 45, 12.75 L
575,1,Sector 45, 17.75 L
560,1,Sector 45, 20 L
560,1,Sector 45, 14 L
950,2,Sector 45, 34 L
955,2,Sector 73, 28.8 L
960,2,Sector 45, 32 L
950,2,Sector 73, 29 L
950,2,Sector 45, 27.5 L
955,2,Sector 45, 27.25 L
920,2,Sector 45, 27.5 L
1000,2,Sector 45, 28.5 L
950,2,Sector 45, 27.5 L
1050,2,Sector 45, 33 L
980,2,Sector 45, 35 L
1050,2,Sector 45, 33.5 L
950,2,Sector 73, 29 L
1000,2,Sector 43, 34.5 L
1000,2,Sector 43, 35 L
551,1,Sector 45, 15.75 L
980,2,Sector 44, 32 L
940,2,Sector 45, 32.8 L
960,2,Sector 45, 33 L
955,2,Sector 73, 28.5 L
580,1,Sector 45, 16.1 L
950,2,Sector 45, 27 L
950,2,Sector 45, 28 L
940,2,Sector 45, 28 L
950,2,Sector 73, 29 L
940,2,Sector 43, 30 L
1045,2,Sector 43, 35 L
950,2,Sector 43, 34 L
950,2,Sector 45, 27.5 L
980,2,Sector 73, 30 L
960,2,Sector 73, 28.75 L
970,2,Sector 73, 29.5 L
950,2,Sector 73, 28 L
950,2,Sector 73, 28.5 L
940,2,Sector 43, 31 L
940,2,Sector 43, 30.5 L
970,2,Sector 73, 29 L
950,2,Sector 45, 26.75 L
960,2,Sector 45, 26.5 L
940,2,Sector 45, 27 L
980,2,Sector 110, 31 L
980,2,Sector 110, 30.5 L
980,2,Sector 110, 30 L
980,2,Sector 110, 28.5 L
1100,2,Sector 45, 33.5 L
580,1,Sector 45, 17.5 L
925,2,Sector 45, 32 L
960,2,Sector 73, 28.5 L
970,2,Sector 73, 29 L
960,2,Sector 73, 29.25 L
980,2,Sector 43, 34.25 L
1000,2,Sector 43, 34.5 L
950,2,Sector 110, 29.5 L
975,2,Sector 110, 30.25 L
980,2,Sector 110, 30.5 L
950,2,Sector 45, 34 L
1000,2,Sector 45, 28.5 L
1050,2,Sector 45, 33 L
945,2,Sector 45, 27.1 L
970,2,Sector 73, 29.5 L
950,2,Sector 45, 26.9 L
1000,2,Sector 43, 35 L
960,2,Sector 110, 28 L
950,2,Sector 43, 28 L
950,2,Sector 73, 28.25 L
950,2,Sector 73, 28 L
940,2,Sector 45, 31.49 L
950,2,Sector 45, 33 L
970,2,Sector 45, 31.5 L
950,2,Sector 45, 27.75 L
950,2,Sector 45, 27.21 L
950,2,Sector 49, 32 L
970,2,Sector 49, 34 L
950,2,Sector 43, 28.5 L
975,2,Sector 45, 31 L
990,2,Sector 43, 33.5 L
932,2,Sector 45, 30.75 L
940,2,Sector 45, 30.5 L
920,2,Sector 45, 30.75 L
930,2,Sector 45, 31 L
950,2,Sector 43, 28.75 L
1907,3,Sector 150, 1.65 Cr
1202,2,Sector 137, 50.1 L
1040,2,Sector 137, 43.8 L
1511,3,Sector 150, 1.85 Cr
890,2,Sector 150, 1.17 Cr
1322,3,Sector 150, 1.58 Cr
1794,3,Sector 150, 2.03 Cr
849,2,Sector 150, 1.08 Cr
2990,4,Sector 150, 1.58 Cr
2230,3,Sector 150, 1.18 Cr
1980,3,Sector 150, 1.04 Cr
934,3,Sector 150, 79.99 L
1151,3,Sector 150, 95.82 L
3198,4,Sector 150, 2.57 Cr
1969,2,Sector 150, 1.46 Cr
1305,2,Sector 150, 97 L
3165,3,Sector 150, 2.4 Cr
2440,3,Sector 150, 1.86 Cr
1947,3,Sector 150, 1.5 Cr
3964,4,Sector 150, 3.05 Cr
1037,1,Sector 150, 78 L
1266,2,Sector 150, 97 L
1265,2,Sector 150, 97 L
2062,3,Sector 150, 1.46 Cr
2062,3,Sector 150, 1.46 Cr
2330,3,Sector 150, 1.64 Cr
2330,3,Sector 150, 1.64 Cr
3280,4,Sector 150, 1.82 Cr
950,2,Sector 45, 27 L
3027,4,Sector 150, 2.42 Cr
2697,4,Sector 150, 2.15 Cr
2555,3,Sector 150, 1.87 Cr
2555,3,Sector 150, 1.87 Cr
2040,3,Sector 150, 1.5 Cr
2040,3,Sector 150, 1.5 Cr
3355,4,Sector 150, 2.11 Cr
3355,4,Sector 150, 2.11 Cr
1700,3,Sector 150, 1.28 Cr
1700,3,Sector 150, 1.28 Cr
2050,4,Sector 150, 1.97 Cr
2050,4,Sector 150, 1.97 Cr
1430,3,Sector 150, 1.5 Cr
1430,3,Sector 150, 1.5 Cr
1025,2,Sector 43, 34.75 L
925,2,Sector 43, 32 L
500,1,Sector 45, 12.5 L
580,1,Sector 73, 18 L
950,2,Sector 45, 27 L
950,2,Sector 45, 32 L
1150,3,Sector 73, 38 L
580,1,Sector 73, 17 L
500,1,Sector 45, 12.5 L
1050,2,Sector 45, 33.5 L
975,2,Sector 45, 32 L
510,1,Sector 45, 13 L
1050,2,Sector 45, 35 L
980,2,Sector 73, 30 L
970,2,Sector 45, 31 L
1608,3,Sector 128, 3.69 Cr
2126,4,Sector 128, 5.08 Cr
2122,4,Sector 128, 4.81 Cr
1608,3,Sector 128, 3.69 Cr
2126,4,Sector 128, 5.08 Cr
2122,4,Sector 128, 4.81 Cr
2105,4,Sector 128, 5.04 Cr
2100,4,Sector 128, 4.78 Cr
1630,3,Sector 128, 3.72 Cr
1404,3,Sector 150, 1.02 Cr
981,3,Sector 150, 1.28 Cr
648,2,Sector 150, 93.16 L
1907,3,Sector 150, 1.46 Cr
1907,3,Sector 150, 1.46 Cr
2062,3,Sector 150, 1.63 Cr
2062,3,Sector 150, 1.63 Cr
2330,3,Sector 150, 1.64 Cr
2330,3,Sector 150, 1.64 Cr
771,2,Sector 150, 79 L
801,2,Sector 150, 84.04 L
773,2,Sector 150, 79.21 L
1455,3,Sector 150, 1.51 Cr
977,2,Sector 150, 96.96 L
1903,4,Sector 150, 1.99 Cr
1202,3,Sector 150, 1.18 Cr
975,2,Sector 73, 29.8 L
950,2,Sector 73, 29.1 L
1025,2,Sector 73, 28.95 L
990,2,Sector 73, 29 L
970,2,Sector 73, 29.25 L
1792,3,Sector 150, 91.46 L
1675,3,Sector 150, 1.07 Cr
2268,3,Sector 150, 1.46 Cr
980,2,Sector 73, 29.5 L
955,2,Sector 45, 27 L
1470,3,Sector 77, 85.26 L
1075,2,Sector 77, 62.35 L
1470,3,Sector 77, 85.26 L
1075,2,Sector 77, 62.35 L
1470,3,Sector 77, 85.26 L
990,2,Sector 77, 57.42 L
1075,2,Sector 77, 62.35 L
990,2,Sector 77, 57.42 L
1765,3,Sector 77, 1.02 Cr
1765,3,Sector 77, 1.02 Cr
1150,2,Sector 77, 66.7 L
1150,2,Sector 77, 66.7 L
1615,3,Sector 77, 93.67 L
1615,3,Sector 77, 93.67 L
1085,2,Sector 77, 62.93 L
1085,2,Sector 77, 62.93 L
1695,3,Sector 77, 98.31 L
1695,3,Sector 77, 98.31 L
1310,2,Sector 77, 75.98 L
1310,2,Sector 77, 75.98 L
1400,3,Sector 77, 81.2 L
1400,3,Sector 77, 81.2 L
1753,4,Sector 43, 4.05 Cr
2080,5,Sector 43, 5.08 Cr
1848,4,Sector 43, 4.39 Cr
1750,3,Sector 150, 1.08 Cr
3220,4,Sector 150, 2.26 Cr
2190,3,Sector 150, 1.42 Cr
2460,3,Sector 150, 1.74 Cr
1625,3,Sector 119, 72 L
1625,3,Sector 119, 80 L
1880,3,Sector 79, 1.22 Cr
2725,4,Sector 79, 1.83 Cr
2725,4,Sector 79, 1.85 Cr
1380,2,Sector 79, 81 L
1730,3,Sector 79, 1.25 Cr
2725,4,Sector 79, 1.8 Cr
6000,5,Sector 79, 5.48 Cr
6000,5,Sector 79, 5.5 Cr
980,2,Sector 73, 27.5 L
2410,4,Sector 76, 1.35 Cr
2410,4,Sector 76, 1.35 Cr
4910,3,Sector 76, 1.56 Cr
1835,3,Sector 76, 1.03 Cr
2910,3,Sector 76, 1.56 Cr
1675,3,Sector 150, 1.2 Cr
1000,3,Sector 150, 1.09 Cr
820,2,Sector 150, 90.09 L
816,2,Sector 150, 88.68 L
1675,3,Sector 150, 1.3 Cr
1675,3,Sector 150, 1.2 Cr
1155,2,Sector 150, 90.09 L
925,2,Sector 121, 23.99 L
725,1,Sector 121, 16.95 L
940,2,Sector 43, 31 L
792,2,Sector 44, 26.49 L
1187,3,Sector 44, 39.7 L
1194,3,Sector 44, 39.93 L
1165,3,Sector 44, 38.96 L
832,2,Sector 44, 27.83 L
905,2,Sector 121, 22.45 L
925,2,Sector 121, 21.95 L
1200,3,Sector 121, 29.95 L
915,2,Sector 121, 21.95 L
1750,3,Sector 75, 96.25 L
1385,2,Sector 79, 1.19 Cr
2350,4,Sector 150, 1.87 Cr
1404,3,Sector 150, 1.05 Cr
1404,3,Sector 150, 1.05 Cr
2910,3,Sector 76, 1.52 Cr
1110,2,Sector 78, 66 L
1555,3,Sector 79, 1 Cr
1355,3,Sector 79, 85 L
1555,3,Sector 79, 1 Cr
725,1,Sector 78, 39 L
1675,3,Sector 150, 94.7 L
2700,4,Sector 150, 2.15 Cr
1137,2,Sector 150, 58 L
1055,2,Sector 43, 1.08 Cr
1645,3,Sector 76, 90 L
3312,3,Sector 108, 2.75 Cr
2548,3,Sector 50, 2.56 Cr
3300,4,Sector 150, 2.3 Cr
2558,3,Sector 50, 2.65 Cr
1405,3,Sector 107, 85 L
2350,3,Sector 150, 1.8 Cr
2558,3,Sector 50, 2.65 Cr
1405,3,Sector 107, 85 L
2350,3,Sector 150, 1.8 Cr
1650,3,Sector 43, 1.9 Cr
1585,3,Sector 78, 1.1 Cr
2558,3,Sector 50, 2.65 Cr
3198,4,Sector 150, 2.85 Cr
2548,3,Sector 50, 2.65 Cr
2548,3,Sector 50, 2.65 Cr
1675,3,Sector 150, 1.13 Cr
2560,3,Sector 50, 2.65 Cr
2555,3,Sector 50, 2.65 Cr
2560,3,Sector 50, 2.65 Cr
1010,2,Sector 78, 56 L
1110,2,Sector 78, 60 L
950,2,Sector 78, 52.5 L
1000,2,Sector 78, 60 L
2105,3,Sector 78, 1.15 Cr
1000,2,Sector 78, 60 L
1000,2,Sector 78, 55 L
1510,3,Sector 78, 85 L
1555,3,Sector 79, 1 Cr
1355,3,Sector 79, 85 L
1555,3,Sector 79, 1 Cr
725,1,Sector 78, 39 L
890,2,other, 41.5 L
1519,3,Sector 150, 1.64 Cr
2251,4,Sector 150, 2.27 Cr
3650,4,Sector 150, 2.24 Cr
2750,3,Sector 150, 1.69 Cr
2450,3,Sector 150, 1.5 Cr
2850,3,Sector 150, 1.75 Cr
3075,4,Sector 76, 1.52 Cr
1230,2,Sector 75, 1.05 Cr
2500,3,Sector 78, 3 Cr
2765,4,Sector 100, 2.25 Cr
4200,3,Sector 43, 9 Cr
1070,2,Sector 137, 47 L
1475,3,Sector 144, 1.06 Cr
1465,2,Sector 150, 99.47 L
1220,2,Sector 150, 67.2 L
1050,2,Sector 150, 57.75 L
1260,2,Sector 150, 69.3 L
1475,3,Sector 150, 81.13 L
1665,2,Sector 150, 91.58 L
1425,2,Sector 150, 96.76 L
2385,3,Sector 150, 1.62 Cr
1465,2,Sector 150, 99.47 L
1945,3,Sector 150, 1.32 Cr
1859,3,Sector 150, 94.7 L
1335,2,Sector 150, 74.7 L
1850,3,Sector 150, 1.04 Cr
2250,3,Sector 150, 1.26 Cr
1202,3,Sector 150, 1.19 Cr
1475,3,Sector 144, 1.06 Cr
1085,2,Sector 119, 55 L
1495,3,Sector 75, 86 L
1775,3,Sector 152, 1.8 Cr
1775,3,Sector 152, 1.8 Cr
1350,2,Sector 152, 1.25 Cr
1350,2,Sector 152, 1.25 Cr
1775,3,Sector 152, 1.8 Cr
1775,3,Sector 152, 1.8 Cr
1350,2,Sector 152, 1.25 Cr
1350,2,Sector 152, 1.25 Cr
1519,3,Sector 150, 1.64 Cr
1519,3,Sector 150, 1.64 Cr
2251,4,Sector 150, 2.27 Cr
2251,4,Sector 150, 2.27 Cr
1519,3,Sector 150, 1.64 Cr
1519,3,Sector 150, 1.64 Cr
2251,4,Sector 150, 2.27 Cr
2251,4,Sector 150, 2.27 Cr
1750,3,Sector 150, 1.08 Cr
1750,3,Sector 150, 1.08 Cr
1750,3,Sector 150, 1.08 Cr
3220,4,Sector 150, 2.26 Cr
1750,3,Sector 150, 1.08 Cr
2190,3,Sector 150, 1.42 Cr
3220,4,Sector 150, 2.26 Cr
2460,3,Sector 150, 1.74 Cr
2190,3,Sector 150, 1.42 Cr
2460,3,Sector 150, 1.74 Cr
3200,4,Sector 152, 2.15 Cr
3200,4,Sector 152, 2.15 Cr
3200,4,Sector 152, 2.15 Cr
3200,4,Sector 152, 2.15 Cr
2350,3,Sector 152, 1.6 Cr
2350,3,Sector 152, 1.6 Cr
1850,3,Sector 152, 1.27 Cr
1850,3,Sector 152, 1.27 Cr
3198,4,Sector 150, 3 Cr
1305,2,Sector 150, 1.15 Cr
3198,4,Sector 150, 3 Cr
1305,2,Sector 150, 1.15 Cr
3198,4,Sector 150, 3 Cr
1305,2,Sector 150, 1.15 Cr
2440,3,Sector 150, 2.75 Cr
2440,3,Sector 150, 2.75 Cr
3165,3,Sector 150, 2.3 Cr
3165,3,Sector 150, 2.3 Cr
1947,3,Sector 150, 1.85 Cr
1947,3,Sector 150, 1.85 Cr
3963,4,Sector 150, 3.5 Cr
3963,4,Sector 150, 3.5 Cr
1558,2,Sector 150, 1.37 Cr
1558,2,Sector 150, 1.37 Cr
1628,2,Sector 150, 1.25 Cr
1628,2,Sector 150, 1.25 Cr
2890,4,Sector 79, 1.87 Cr
1495,3,Sector 79, 97.17 L
3200,4,Sector 150, 2.47 Cr
2000,3,Sector 150, 1.57 Cr
2300,3,Sector 150, 1.79 Cr
1625,3,Sector 150, 1.29 Cr
3200,4,Sector 150, 1.76 Cr
3200,4,Sector 150, 1.76 Cr
2300,3,Sector 150, 1.26 Cr
2300,3,Sector 150, 1.26 Cr
1750,3,Sector 150, 96.25 L
1750,3,Sector 150, 96.25 L
1404,3,Sector 150, 73.09 L
1155,2,Sector 150, 60.69 L
1137,2,Sector 150, 59.82 L
2950,3,Sector 128, 2.9 Cr
1544,3,Sector 43, 1.85 Cr
1750,3,Sector 150, 1.08 Cr
3220,4,Sector 150, 2.26 Cr
2190,3,Sector 150, 1.42 Cr
2460,3,Sector 150, 1.74 Cr
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
925,2,Sector 121, 24.99 L
1200,3,Sector 121, 32 L
1200,3,Sector 121, 32 L
1200,3,Sector 121, 31.99 L
1200,3,Sector 73, 32 L
1200,3,Sector 73, 32 L
950,2,Sector 73, 25 L
950,2,Sector 73, 25 L
950,2,Sector 73, 25 L
950,2,Sector 73, 25 L
750,1,Sector 73, 18 L
750,1,Sector 73, 18 L
1215,3,other, 38.82 L
799,2,other, 25.52 L
2990,4,Sector 150, 1.64 Cr
1248,3,Sector 43, 3.34 Cr
1248,3,Sector 43, 3.34 Cr
1345,3,Sector 43, 3.71 Cr
1345,3,Sector 43, 3.71 Cr
1249,3,Sector 43, 3.35 Cr
1753,4,Sector 43, 4.05 Cr
1248,3,Sector 43, 3.34 Cr
2080,5,Sector 43, 5.08 Cr
1345,3,Sector 43, 3.71 Cr
1249,3,Sector 43, 3.35 Cr
1753,4,Sector 43, 4.05 Cr
2080,5,Sector 43, 5.08 Cr
1848,4,Sector 43, 4.39 Cr
1608,3,Sector 128, 3.29 Cr
1608,3,Sector 128, 3.29 Cr
2126,4,Sector 128, 4.54 Cr
2122,4,Sector 128, 4.31 Cr
2105,4,Sector 128, 4.5 Cr
2100,4,Sector 128, 4.28 Cr
1630,3,Sector 128, 3.34 Cr
4874,4,Sector 108, 4.14 Cr
3302,3,Sector 108, 2.8 Cr
