Area in Sqrt,No.of Bhk,Location,Price
1248,3,Sector 43, 3.34 Cr
1345,3,Sector 43, 3.71 Cr
1249,3,Sector 43, 3.35 Cr
1753,4,Sector 43, 4.05 Cr
2080,5,Sector 43, 5.08 Cr
1848,4,Sector 43, 4.39 Cr
1425,3,Sector 143B, 94.5 L
1700,3,Sector 143B, 1.11 Cr
1700,3,Sector 143B, 1.11 Cr
1425,3,Sector 143B, 94.5 L
1425,3,Sector 143B, 94.5 L
1700,3,Sector 143B, 1.11 Cr
1700,3,Sector 143B, 1.11 Cr
1600,3,other, 1.5 Cr
1750,3,Sector 107, 1.4 Cr
4500,10,other, 3.3 Cr
4100,5,Sector 78, 3.77 Cr
945,2,other, 25.9 L
1350,3,other, 35.9 L
1300,3,other, 34.9 L
2548,3,Sector 50, 2.65 Cr
2150,4,Sector 150, 1.39 Cr
2600,4,Sector 150, 1.69 Cr
3600,5,Sector 150, 2.34 Cr
7000,7,other, 8.5 Cr
1970,3,Sector 77, 1.28 Cr
1580,3,Sector 77, 1.02 Cr
1580,3,Sector 77, 1.02 Cr
1650,3,Sector 77, 1.07 Cr
1650,3,Sector 77, 1.07 Cr
4200,5,Sector 77, 2.73 Cr
4200,5,Sector 77, 2.73 Cr
3600,5,Sector 77, 2.34 Cr
3600,5,Sector 77, 2.34 Cr
1430,2,Sector 77, 92.95 L
1430,2,Sector 77, 92.95 L
2270,3,Sector 77, 1.47 Cr
2270,3,Sector 77, 1.47 Cr
995,2,Sector 77, 64.67 L
995,2,Sector 77, 64.67 L
1480,3,Sector 77, 96.2 L
1480,3,Sector 77, 96.2 L
1285,2,Sector 77, 83.52 L
1285,2,Sector 77, 83.52 L
2450,4,Sector 77, 1.59 Cr
2450,4,Sector 77, 1.59 Cr
2760,4,Sector 77, 1.79 Cr
2760,4,Sector 77, 1.79 Cr
2730,3,Sector 77, 1.77 Cr
2730,3,Sector 77, 1.77 Cr
1395,3,Sector 77, 90.67 L
1395,3,Sector 77, 90.67 L
620,1,Sector 120, 29.99 L
1140,2,Sector 120, 56.98 L
1578,3,Sector 120, 70.99 L
1810,3,Sector 120, 81.43 L
1750,3,Sector 62, 95 L
783,3,Sector 150, 1.05 Cr
981,3,Sector 150, 1.28 Cr
981,3,Sector 150, 1.28 Cr
783,3,Sector 150, 1.05 Cr
783,3,Sector 150, 1.05 Cr
981,3,Sector 150, 1.28 Cr
981,3,Sector 150, 1.28 Cr
648,2,Sector 150, 93.16 L
648,2,Sector 150, 93.16 L
3650,4,Sector 150, 2.24 Cr
3650,4,Sector 150, 2.24 Cr
3650,4,Sector 150, 2.24 Cr
3650,4,Sector 150, 2.24 Cr
2750,3,Sector 150, 1.69 Cr
2750,3,Sector 150, 1.69 Cr
2450,3,Sector 150, 1.5 Cr
2450,3,Sector 150, 1.5 Cr
2850,3,Sector 150, 1.75 Cr
2850,3,Sector 150, 1.75 Cr
3198,4,Sector 150, 3 Cr
3198,4,Sector 150, 3 Cr
1305,2,Sector 150, 1.15 Cr
2440,3,Sector 150, 2.75 Cr
2440,3,Sector 150, 2.75 Cr
3165,3,Sector 150, 2.3 Cr
3165,3,Sector 150, 2.3 Cr
1947,3,Sector 150, 1.85 Cr
1947,3,Sector 150, 1.85 Cr
3963,4,Sector 150, 3.5 Cr
3963,4,Sector 150, 3.5 Cr
1558,2,Sector 150, 1.37 Cr
1558,2,Sector 150, 1.37 Cr
1628,2,Sector 150, 1.25 Cr
1628,2,Sector 150, 1.25 Cr
3027,4,Sector 150, 2.42 Cr
3027,4,Sector 150, 2.42 Cr
2697,4,Sector 150, 2.15 Cr
2697,4,Sector 150, 2.15 Cr
3027,4,Sector 150, 2.42 Cr
3027,4,Sector 150, 2.42 Cr
2697,4,Sector 150, 2.15 Cr
2697,4,Sector 150, 2.15 Cr
2062,3,Sector 150, 1.46 Cr
2062,3,Sector 150, 1.46 Cr
2330,3,Sector 150, 1.64 Cr
2330,3,Sector 150, 1.64 Cr
1404,3,Sector 150, 1.05 Cr
1404,3,Sector 150, 1.05 Cr
1404,3,Sector 150, 1.05 Cr
1404,3,Sector 150, 1.05 Cr
1305,2,Sector 150, 1.15 Cr
2000,3,Sector 100, 3.25 Cr
1050,2,Sector 73, 29 L
2550,6,Sector 44, 8.5 Cr
3250,5,Sector 44, 7.25 Cr
900,2,Sector 73, 25 L
4550,6,Sector 15A, 19 Cr
5000,8,Sector 15A, 22 Cr
1500,5,other, 2.5 Cr
4400,5,other, 6.5 Cr
4859,9,Sector 15A, 16 Cr
1608,3,Sector 128, 3.69 Cr
1608,3,Sector 128, 3.69 Cr
1608,3,Sector 128, 3.69 Cr
1608,3,Sector 128, 3.69 Cr
2126,4,Sector 128, 5.08 Cr
2126,4,Sector 128, 5.08 Cr
2122,4,Sector 128, 4.81 Cr
2122,4,Sector 128, 4.81 Cr
2105,4,Sector 128, 5.04 Cr
2105,4,Sector 128, 5.04 Cr
2100,4,Sector 128, 4.78 Cr
2100,4,Sector 128, 4.78 Cr
1630,3,Sector 128, 3.72 Cr
1630,3,Sector 128, 3.72 Cr
2250,5,Sector 15A, 8.5 Cr
2150,3,Sector 15A, 3 Cr
5150,5,Sector 15A, 25 Cr
1900,3,Sector 143B, 1.33 Cr
950,2,Sector 110, 29.38 L
4455,4,Sector 121, 5.96 Cr
3300,3,other, 4.85 Cr
2150,5,other, 4.5 Cr
1935,5,other, 3.5 Cr
3000,4,Sector 107, 2.97 Cr
3720,4,Sector 107, 3.68 Cr
3720,4,Sector 107, 3.68 Cr
2500,3,Sector 107, 2.47 Cr
2500,3,Sector 107, 2.47 Cr
2970,4,Sector 107, 2.94 Cr
2970,4,Sector 107, 2.94 Cr
2575,3,Sector 107, 2.54 Cr
2575,3,Sector 107, 2.54 Cr
3550,4,Sector 107, 3.51 Cr
3550,4,Sector 107, 3.51 Cr
1350,3,Sector 150, 98 L
2350,3,Sector 150, 1.42 Cr
1700,3,Sector 150, 2.25 Cr
1750,3,Sector 150, 1.35 Cr
4225,4,Sector 150, 4.64 Cr
3515,4,Sector 150, 3.85 Cr
1750,3,Sector 150, 1.48 Cr
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1155,2,Sector 150, 86 L
1820,4,Sector 62, 75 L
1850,4,Sector 62, 84 L
2150,3,Sector 15A, 3 Cr
659,2,Sector 49, 21.8 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
1050,2,Sector 73, 25 L
