Area in Sqrt,No.of Bhk,Location,price_rupees,price_per_sqft,area_per_bhk
950,2,Sector 73,2885000,3036.842105263158,475.0
950,2,Sector 73,2875000,3026.315789473684,475.0
950,2,Sector 73,2800000,2947.3684210526317,475.0
950,2,Sector 73,2878000,3029.4736842105262,475.0
1050,2,Sector 110,3025000,2880.9523809523807,525.0
1051,2,Sector 110,3100000,2949.571836346337,525.5
1050,2,Sector 110,3100000,2952.3809523809523,525.0
1050,2,Sector 110,3100000,2952.3809523809523,525.0
1050,2,Sector 110,3100000,2952.3809523809523,525.0
1050,2,Sector 110,3150000,3000.0,525.0
1050,2,Sector 110,3200000,3047.6190476190477,525.0
1085,2,Sector 73,2800000,2580.6451612903224,542.5
1050,2,Sector 110,3050000,2904.7619047619046,525.0
925,2,Sector 137,3800000,4108.108108108108,462.5
550,1,Sector 73,1300000,2363.6363636363635,550.0
550,1,Sector 73,1650000,3000.0,550.0
850,2,Sector 73,2200000,2588.235294117647,425.0
850,2,Sector 73,1550000,1823.5294117647059,425.0
950,2,other,2650000,2789.4736842105262,475.0
550,1,Sector 73,1300000,2363.6363636363635,550.0
850,2,Sector 73,1550000,1823.5294117647059,425.0
1050,2,Sector 110,3060000,2914.285714285714,525.0
1050,2,Sector 110,2980000,2838.095238095238,525.0
1050,2,Sector 110,2950000,2809.5238095238096,525.0
1050,2,Sector 110,3070000,2923.809523809524,525.0
1050,2,Sector 110,3120000,2971.4285714285716,525.0
1050,2,Sector 110,3105000,2957.1428571428573,525.0
1050,2,Sector 110,3160000,3009.5238095238096,525.0
2050,4,Sector 150,19800000,9658.536585365853,512.5
2050,4,Sector 150,19800000,9658.536585365853,512.5
2050,4,Sector 150,19800000,9658.536585365853,512.5
2555,3,Sector 150,18700000,7318.982387475538,851.6666666666666
600,1,Sector 73,1839999,3066.666666666666,600.0
600,1,Sector 73,1850000,3083.3333333333335,600.0
850,2,Sector 73,1900000,2235.294117647059,425.0
850,2,Sector 73,2850000,3352.9411764705883,425.0
780,2,Sector 73,2399000,3075.641025641026,390.0
950,2,Sector 72,2608000,2745.2631578947367,475.0
950,2,Sector 72,2853000,3003.157894736842,475.0
850,2,Sector 73,3299000,3881.176470588235,425.0
850,2,Sector 73,2700000,3176.470588235294,425.0
850,2,Sector 73,1650000,1941.1764705882354,425.0
850,2,Sector 72,2649000,3116.470588235294,425.0
950,2,Sector 73,2400000,2526.315789473684,475.0
950,2,Sector 73,2400000,2526.315789473684,475.0
950,2,Sector 73,2350000,2473.684210526316,475.0
950,2,Sector 72,2350000,2473.684210526316,475.0
950,2,Sector 73,2300000,2421.0526315789475,475.0
550,1,Sector 73,1700000,3090.909090909091,550.0
550,1,Sector 73,1700000,3090.909090909091,550.0
850,2,Sector 73,2100000,2470.5882352941176,425.0
950,2,Sector 73,2100000,2210.5263157894738,475.0
1000,2,Sector 72,2750000,2750.0,500.0
1000,2,Sector 73,2800000,2800.0,500.0
1000,2,Sector 73,2850000,2850.0,500.0
1000,2,Sector 73,2900000,2900.0,500.0
1000,2,Sector 73,2950000,2950.0,500.0
1000,2,Sector 73,2900000,2900.0,500.0
950,2,Sector 73,2900000,3052.6315789473683,475.0
950,2,Sector 73,2850000,3000.0,475.0
950,2,Sector 73,2800000,2947.3684210526317,475.0
950,2,Sector 73,2750000,2894.7368421052633,475.0
950,2,Sector 73,2450000,2578.9473684210525,475.0
950,2,Sector 73,2500000,2631.5789473684213,475.0
980,2,Sector 73,2635000,2688.7755102040815,490.0
980,2,Sector 73,2654000,2708.1632653061224,490.0
1000,2,Sector 73,2645000,2645.0,500.0
1000,2,Sector 73,2754000,2754.0,500.0
950,2,Sector 73,2155000,2268.4210526315787,475.0
850,2,Sector 73,2150000,2529.4117647058824,425.0
820,2,Sector 72,2449000,2986.5853658536585,410.0
800,2,Sector 72,2099000,2623.75,400.0
850,2,Sector 73,2120000,2494.1176470588234,425.0
850,2,Sector 73,2110000,2482.3529411764707,425.0
850,2,Sector 73,2100000,2470.5882352941176,425.0
525,1,Sector 73,1739000,3312.3809523809523,525.0
950,2,Sector 73,2758000,2903.157894736842,475.0
900,2,Sector 73,2112000,2346.6666666666665,450.0
900,2,Sector 73,2100000,2333.3333333333335,450.0
950,2,Sector 73,2780000,2926.315789473684,475.0
950,2,Sector 73,2700000,2842.1052631578946,475.0
950,2,Sector 73,2650000,2789.4736842105262,475.0
950,2,Sector 73,2600000,2736.842105263158,475.0
950,2,Sector 73,2853000,3003.157894736842,475.0
950,2,Sector 73,2868000,3018.9473684210525,475.0
950,2,Sector 73,2878000,3029.4736842105262,475.0
950,2,Sector 73,2885000,3036.842105263158,475.0
950,2,Sector 73,2900000,3052.6315789473683,475.0
950,2,Sector 73,2408000,2534.7368421052633,475.0
950,2,Sector 73,2304000,2425.2631578947367,475.0
950,2,Sector 73,2250000,2368.4210526315787,475.0
950,2,Sector 73,2800000,2947.3684210526317,475.0
950,2,Sector 73,2750000,2894.7368421052633,475.0
950,2,Sector 73,2800000,2947.3684210526317,475.0
950,2,Sector 73,2100000,2210.5263157894738,475.0
950,2,Sector 73,2150000,2263.157894736842,475.0
780,2,Sector 73,2379000,3050.0,390.0
850,2,Sector 73,2699000,3175.294117647059,425.0
801,2,Sector 73,2699000,3369.538077403246,400.5
850,2,Sector 73,2789000,3281.176470588235,425.0
1000,2,Sector 73,2900000,2900.0,500.0
920,2,Sector 73,2100000,2282.608695652174,460.0
950,2,Sector 73,2358000,2482.1052631578946,475.0
780,2,Sector 73,2249000,2883.3333333333335,390.0
900,2,Sector 72,1725000,1916.6666666666667,450.0
900,2,Sector 73,1725000,1916.6666666666667,450.0
450,1,Sector 73,1450000,3222.222222222222,450.0
550,1,Sector 73,1650000,3000.0,550.0
500,1,Sector 73,1600000,3200.0,500.0
450,1,Sector 73,1450000,3222.222222222222,450.0
450,1,Sector 73,1500000,3333.3333333333335,450.0
900,2,Sector 73,1700000,1888.888888888889,450.0
480,1,Sector 73,1399000,2914.5833333333335,480.0
3220,4,Sector 150,28600000,8881.987577639751,805.0
2000,3,Sector 150,22000000,11000.0,666.6666666666666
2000,3,Sector 150,21900000,10950.0,666.6666666666666
8500,5,Sector 144,124900000,14694.117647058823,1700.0
4700,4,Sector 144,60000000,12765.95744680851,1175.0
4700,4,Sector 144,59700000,12702.127659574468,1175.0
6100,5,Sector 128,70100000,11491.803278688525,1220.0
2375,3,Sector 150,23500000,9894.736842105263,791.6666666666666
1587,2,Sector 150,13400000,8443.604284814115,793.5
550,1,Sector 73,1250000,2272.7272727272725,550.0
550,1,Sector 73,1275000,2318.181818181818,550.0
815,2,Sector 73,1670000,2049.079754601227,407.5
510,1,Sector 73,1325000,2598.0392156862745,510.0
2158,5,Sector 79,22500000,10426.320667284523,431.6
6000,4,Sector 94,89900000,14983.333333333334,1500.0
850,2,Sector 72,2100000,2470.5882352941176,425.0
450,1,Sector 73,1400000,3111.1111111111113,450.0
550,1,Sector 73,1358000,2469.090909090909,550.0
550,1,Sector 73,1408000,2560.0,550.0
650,1,Sector 110,1895000,2915.3846153846152,650.0
750,1,Sector 73,1600000,2133.3333333333335,750.0
3575,4,Sector 128,44500000,12447.552447552447,893.75
1775,3,Sector 152,18000000,10140.845070422536,591.6666666666666
1350,2,Sector 152,12500000,9259.25925925926,675.0
1248,3,Sector 43,33400000,26762.82051282051,416.0
1345,3,Sector 43,37100000,27583.64312267658,448.3333333333333
1249,3,Sector 43,33500000,26821.457165732587,416.3333333333333
1753,4,Sector 43,40500000,23103.251568739302,438.25
2080,5,Sector 43,50800000,24423.076923076922,416.0
1848,4,Sector 43,43900000,23755.411255411254,462.0
1425,3,Sector 143B,9450000,6631.578947368421,475.0
1700,3,Sector 143B,11100000,6529.411764705884,566.6666666666666
1700,3,Sector 143B,11100000,6529.411764705884,566.6666666666666
1425,3,Sector 143B,9450000,6631.578947368421,475.0
1425,3,Sector 143B,9450000,6631.578947368421,475.0
1700,3,Sector 143B,11100000,6529.411764705884,566.6666666666666
1700,3,Sector 143B,11100000,6529.411764705884,566.6666666666666
1600,3,other,15000000,9375.0,533.3333333333334
1750,3,Sector 107,14000000,8000.0,583.3333333333334
4500,10,other,33000000,7333.333333333333,450.0
4100,5,Sector 78,37700000,9195.121951219513,820.0
945,2,other,2590000,2740.740740740741,472.5
1350,3,other,3590000,2659.259259259259,450.0
1300,3,other,3490000,2684.6153846153848,433.3333333333333
2548,3,Sector 50,26500000,10400.313971742544,849.3333333333334
2150,4,Sector 150,13899999,6465.116279069766,537.5
2600,4,Sector 150,16900000,6500.0,650.0
3600,5,Sector 150,23400000,6500.0,720.0
7000,7,other,85000000,12142.857142857143,1000.0
1970,3,Sector 77,12800000,6497.46192893401,656.6666666666666
1580,3,Sector 77,10200000,6455.696202531645,526.6666666666666
1580,3,Sector 77,10200000,6455.696202531645,526.6666666666666
1650,3,Sector 77,10700000,6484.848484848485,550.0
1650,3,Sector 77,10700000,6484.848484848485,550.0
4200,5,Sector 77,27300000,6500.0,840.0
4200,5,Sector 77,27300000,6500.0,840.0
3600,5,Sector 77,23400000,6500.0,720.0
3600,5,Sector 77,23400000,6500.0,720.0
1430,2,Sector 77,9295000,6500.0,715.0
1430,2,Sector 77,9295000,6500.0,715.0
2270,3,Sector 77,14700000,6475.770925110132,756.6666666666666
2270,3,Sector 77,14700000,6475.770925110132,756.6666666666666
995,2,Sector 77,6467000,6499.497487437186,497.5
995,2,Sector 77,6467000,6499.497487437186,497.5
1480,3,Sector 77,9620000,6500.0,493.3333333333333
1480,3,Sector 77,9620000,6500.0,493.3333333333333
1285,2,Sector 77,8352000,6499.610894941634,642.5
1285,2,Sector 77,8352000,6499.610894941634,642.5
2450,4,Sector 77,15900000,6489.7959183673465,612.5
2450,4,Sector 77,15900000,6489.7959183673465,612.5
2760,4,Sector 77,17900000,6485.507246376812,690.0
2760,4,Sector 77,17900000,6485.507246376812,690.0
2730,3,Sector 77,17700000,6483.516483516483,910.0
2730,3,Sector 77,17700000,6483.516483516483,910.0
1395,3,Sector 77,9067000,6499.641577060932,465.0
1395,3,Sector 77,9067000,6499.641577060932,465.0
620,1,Sector 120,2999000,4837.096774193548,620.0
1140,2,Sector 120,5698000,4998.245614035088,570.0
1578,3,Sector 120,7098999,4498.732572877059,526.0
1810,3,Sector 120,8143000,4498.8950276243095,603.3333333333334
1750,3,Sector 62,9500000,5428.571428571428,583.3333333333334
783,3,Sector 150,10500000,13409.961685823755,261.0
981,3,Sector 150,12800000,13047.910295616717,327.0
981,3,Sector 150,12800000,13047.910295616717,327.0
783,3,Sector 150,10500000,13409.961685823755,261.0
783,3,Sector 150,10500000,13409.961685823755,261.0
981,3,Sector 150,12800000,13047.910295616717,327.0
981,3,Sector 150,12800000,13047.910295616717,327.0
648,2,Sector 150,9316000,14376.543209876543,324.0
648,2,Sector 150,9316000,14376.543209876543,324.0
3650,4,Sector 150,22400000,6136.986301369864,912.5
3650,4,Sector 150,22400000,6136.986301369864,912.5
3650,4,Sector 150,22400000,6136.986301369864,912.5
3650,4,Sector 150,22400000,6136.986301369864,912.5
2750,3,Sector 150,16900000,6145.454545454545,916.6666666666666
2750,3,Sector 150,16900000,6145.454545454545,916.6666666666666
2450,3,Sector 150,15000000,6122.448979591837,816.6666666666666
2450,3,Sector 150,15000000,6122.448979591837,816.6666666666666
2850,3,Sector 150,17500000,6140.350877192983,950.0
2850,3,Sector 150,17500000,6140.350877192983,950.0
3198,4,Sector 150,30000000,9380.863039399625,799.5
3198,4,Sector 150,30000000,9380.863039399625,799.5
1305,2,Sector 150,11500000,8812.260536398468,652.5
2440,3,Sector 150,27500000,11270.491803278688,813.3333333333334
2440,3,Sector 150,27500000,11270.491803278688,813.3333333333334
3165,3,Sector 150,23000000,7266.982622432859,1055.0
3165,3,Sector 150,23000000,7266.982622432859,1055.0
1947,3,Sector 150,18500000,9501.797637390857,649.0
1947,3,Sector 150,18500000,9501.797637390857,649.0
3963,4,Sector 150,35000000,8831.693161746152,990.75
3963,4,Sector 150,35000000,8831.693161746152,990.75
